label,used_in,surface_type,occurrence_count,authoritative_meaning,notes
ACCEPTED_CONVENTION,app/export/calibration_reconciliation.py,app,28,current semantics,
ACCEPTED_CONVENTION,app/export/institutional_workbook.py,app,2,current semantics,
ACCEPTED_CONVENTION,docs/phase10_calibration_gap_reconciliation_pack.md,docs,1,current semantics,
ACCEPTED_CONVENTION,docs/phase10_human_readable_calibration_workbook.md,docs,2,current semantics,
ACCEPTED_CONVENTION,docs/phase10_reconciliation_irr_reporting_view.md,docs,1,current semantics,
ACCEPTED_CONVENTION,docs/phase10_review_pack_polish_and_lender_navigation.md,docs,1,current semantics,
ACCEPTED_CONVENTION,docs/phase12_governance_semantics_cleanup.md,docs,3,current semantics,
ACCEPTED_CONVENTION,docs/phase9_5_htmx_ui_ux_product_polish.md,docs,2,current semantics,
ACCEPTED_CONVENTION,docs/phase9_final_tuho_parity_closeout_review.md,docs,1,current semantics,
ACCEPTED_CONVENTION,docs/phase9_tuho_full_line_item_horizontal_review_workbook.md,docs,1,current semantics,
ACCEPTED_CONVENTION,docs/phase9_tuho_full_line_item_parity_pack.md,docs,20,current semantics,
ACCEPTED_CONVENTION,docs/phase9_tuho_full_semester_horizontal_parity_workbook.md,docs,11,current semantics,
ACCEPTED_CONVENTION,reports/phase10_calibration_gap_register.csv,reports,4,current semantics,
ACCEPTED_CONVENTION,reports/phase10_calibration_reconciliation_summary.csv,reports,4,current semantics,
ACCEPTED_CONVENTION,reports/phase10_final_residual_registry.csv,reports,4,current semantics,
ACCEPTED_CONVENTION,reports/phase10_irr_convention_map.csv,reports,2,current semantics,
ACCEPTED_CONVENTION,reports/phase10_irr_governance_items.csv,reports,2,current semantics,
ACCEPTED_CONVENTION,reports/phase10_irr_reconciliation_summary.csv,reports,2,current semantics,
ACCEPTED_CONVENTION,reports/phase10_runtime_binding_gap_register.csv,reports,4,current semantics,
ACCEPTED_CONVENTION,reports/phase10_runtime_binding_inventory.csv,reports,4,current semantics,
ACCEPTED_CONVENTION,reports/phase12_governance_escalation_hierarchy.csv,reports,1,current semantics,
ACCEPTED_CONVENTION,reports/phase12_governance_label_usage_matrix.csv,reports,44,current semantics,
ACCEPTED_CONVENTION,reports/phase12_governance_semantics_dictionary.csv,reports,1,current semantics,
ACCEPTED_CONVENTION,reports/phase12_test_dbg_e5558cc8/binding_gap.csv,reports,4,current semantics,
ACCEPTED_CONVENTION,reports/phase12_test_dbg_e5558cc8/binding_inventory.csv,reports,4,current semantics,
ACCEPTED_CONVENTION,reports/phase12_test_dbg_e5558cc8/gap.csv,reports,4,current semantics,
ACCEPTED_CONVENTION,reports/phase12_test_dbg_e5558cc8/irr_governance.csv,reports,2,current semantics,
ACCEPTED_CONVENTION,reports/phase12_test_dbg_e5558cc8/irr_map.csv,reports,2,current semantics,
ACCEPTED_CONVENTION,reports/phase12_test_dbg_e5558cc8/irr_summary.csv,reports,2,current semantics,
